"","Estado.del.concurso","Fecha.hora.de.publicación","Cartel","Número.de.procedimiento","Número.de.SICOP","Institución","Nombre","Concurso.confidencial","Enc.Pub.Gest.Apertu","Elaborador","Enc.Solic.Est.Ofert","Registro.del.pliego.de.condiciones","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Tipo.de.recepción.de.ofertas","Lugar.de.apertura","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"360","Contrato","16/11/2022 12:10","Real","2022CD-000091-0031200001","-","Municipalidad ","Montes de Oro","No","Cynthia Villalobos Cortés","Cynthia Villalobos Cortes","Cynthia Villalobos Cortes","Modificar","20221103662-01","20221103662-00","“Compra de materiales diversos y contratación de servicios para la ejecucion de partidas especificas de la institucinalidad publica, municipalidad de montes de oro”","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","17/11/2022 08:00","23/11/2022 11:00","23/11/2022 11:01","10 Días hábiles",7232000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","604"
"361","Contrato","16/11/2022 13:54","Real","2022CD-000040-0004400001","-","Municipalidad ","Golfito","No","Karen Mirelli Moya Diaz","Karen Mirelli Moya Diaz","Karen Mirelli Moya Diaz","Registro","","20221103833-00","“Adquisición de alimentos no preparados para el proyecto “trueque limpio navideño”, de la unidad de gestión ambiental de la municipalidad de golfito”","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","16/11/2022 14:00","22/11/2022 10:00","22/11/2022 10:00","30 Días naturales",8e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","607"
"362","Contrato","16/11/2022 14:36","Real","2022CD-000255-0017500001","-","Municipalidad ","Turrialba","No","Hannia Rojas Segura","Hannia Rojas Segura","Hannia Rojas Segura","Registro","","20221103911-00","Servicio de seguridad y vigilancia eventos públicos promovidos por la municipalidad de turrialba","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","16/11/2022 14:40","17/11/2022 15:30","17/11/2022 15:30","10 Días hábiles",1500000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","305"
"363","Contrato","16/11/2022 14:43","Real","2022CD-000339-0021600001","-","Municipalidad ","Desamparados","No","Melissa Jimenez Venegas","Melissa Jimenez Venegas","Melissa Jimenez Venegas","Registro","","20221104050-00","Compra de equipos de cómputo para las diferentes oficinas de la municipalidad.","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","16/11/2022 15:00","21/11/2022 09:00","21/11/2022 09:05","15 Días hábiles",16290000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","103"
"364","Desierto/Infructuoso","16/11/2022 14:44","Real","2022CD-000279-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221104036-00","Contratacion de servicios varios (alquiler de tarima, cimarrona, y confeccion de adhesivos) para desarrollo de la ¿vuelta ciclistica 2022¿ de la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","21/11/2022 06:00","23/11/2022 08:00","23/11/2022 08:00","10 Días hábiles",1285000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"365","Contrato","16/11/2022 14:48","Real","2022CD-000258-0017500001","-","Municipalidad ","Turrialba","No","Hannia Rojas Segura","Mariela Hernández Solano","Hannia Rojas Segura","Registro","","20221104040-00","Sistema de audio para auditorio de la municipalidad de turrialba","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","16/11/2022 14:55","21/11/2022 10:00","21/11/2022 10:01","10 Días hábiles",21900000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","305"
"366","Contrato","16/11/2022 15:46","Real","2022CD-000043-0004400001","-","Municipalidad ","Golfito","No","Karen Mirelli Moya Diaz","Karen Mirelli Moya Diaz","Karen Mirelli Moya Diaz","Registro","","20221103929-00","Contratación de auditoría externa en la unidad de rrhh de la municipalidad de golfito","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","16/11/2022 16:00","23/11/2022 14:00","23/11/2022 14:00","30 Días naturales",8e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","607"
"367","Contrato","16/11/2022 15:46","Real","2022CD-000340-0021600001","-","Municipalidad ","Desamparados","No","Iliana Zamora Araya","Iliana Zamora Araya","Iliana Zamora Araya","Registro","","20221104086-00","Solicitud de libretas de apuntes con bolígrafo incluido y logo de la municipalidad de desamparados.","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","17/11/2022 03:50","22/11/2022 09:00","22/11/2022 09:30","7 Días hábiles",625000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","103"
"368","En evaluación","16/11/2022 15:55","Real","2022LN-000006-0021000001","-","Municipalidad ","Santa Cruz","No","Keylor Antonio Jaen Rosales","Keylor Antonio Jaen Rosales","Keylor Antonio Jaen Rosales","Registro","","20220900101-00","Servicio de mantenimiento preventivo, correctivo y predictivo, y suministro de repuestos para la flota de camiones y maquinaria pesada de la municipalidad de santa cruz","Bienes/servicios","Licitación pública nacional","Según demanda","En línea","https://www.sicop.go.cr","16/11/2022 15:55","15/12/2022 09:00","15/12/2022 09:00","30 Días hábiles",21,"",NA,"503"
"369","Contrato","16/11/2022 18:27","Real","2022CD-000245-0023300001","-","Municipalidad ","San Rafael","No","Floribeth Chaves Ramirez","Floribeth Chaves Ramirez","Floribeth Chaves Ramirez","Registro","","20221104135-00","Publicidad del cierre del iv trimestre del 2022 de impuestos y servicios y trabajo realizados por la municipalidad san rafael de heredia 2022.","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","17/11/2022 07:00","21/11/2022 10:00","21/11/2022 10:05","10 Días hábiles",9e+05,"","Contratación directa de medios de comunicación social (Artículo 2 inc. d) LCA y artículo 139 inciso c) RLCA.","405"
"370","Adjudicación en firme","17/11/2022 07:22","Real","2022CD-000340-0022030101","-","Municipalidad ","Cartago","No","Marco Antonio Monge Hidalgo","Marco Antonio Monge Hidalgo","Marco Antonio Monge Hidalgo","Modificar","20221103893-01","20221103893-00","21695 - contratación del servicio para actualizar, diseñar e implementar el del sistema específico de valoración del riesgo de la municipalidad de car","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","17/11/2022 07:30","23/11/2022 09:00","23/11/2022 09:05","10 Días hábiles",6e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","301"
"371","Contrato","17/11/2022 11:37","Real","2022CD-000281-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221104284-00","Contratacion de alquiler de tarima, sonido y toldos para evento 2da edicion feria del libro para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","22/11/2022 06:00","24/11/2022 08:00","24/11/2022 08:00","10 Días hábiles",2535000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"372","Contrato","17/11/2022 11:55","Real","2022CD-000272-0003300001","-","Municipalidad ","Moravia","No","Jorge Mesen Solorzano","Jorge Mesen Solorzano","Jorge Mesen Solorzano","Registro","","20221104303-00","Compra e instalación de cámaras de seguridad cctv para parqueo de la municipalidad de moravia","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","17/11/2022 12:00","24/11/2022 08:30","24/11/2022 08:35","10 Días hábiles",4e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","114"
"373","Contrato","17/11/2022 12:21","Real","2022CD-000282-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221104315-00","Contratación servicio de alimentación y alquiler de mantelería para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","22/11/2022 06:00","24/11/2022 08:00","24/11/2022 08:00","10 Días hábiles",1735000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"374","Contrato","17/11/2022 13:23","Real","2022CD-000028-0004300001","-","Municipalidad ","Corredores","No","Ericka Maria Castillo Concepción","Ericka Maria Castillo Concepción","Ericka Maria Castillo Concepción","Registro","","20221102586-00","Servicios de auditoría externa a estados financieros de la municipalidad de corredores de los períodos 2020 y 2021.","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","17/11/2022 14:00","23/11/2022 10:00","23/11/2022 10:01","10 Días hábiles",9e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","610"
"375","Adjudicación en firme","17/11/2022 13:31","Real","2022CD-000029-0004300001","-","Municipalidad ","Corredores","No","Ericka Maria Castillo Concepción","Ericka Maria Castillo Concepción","Ericka Maria Castillo Concepción","Registro","","20221103438-00","Servicio de mantenimiento y reparación de los vehiculos livianos toyota hilux sm5760 y kia sm7293 de la municipalidad de corredores","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","17/11/2022 14:00","23/11/2022 11:00","23/11/2022 11:00","10 Días hábiles",1185151.52,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","610"
"376","Apelación o Revocación","17/11/2022 14:11","Real","2022CD-000283-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20221104354-00","Servicios profesionales para el diseño y acondicionamiento de la antigua comandancia para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","23/11/2022 07:00","24/11/2022 10:00","24/11/2022 10:00","10 Días hábiles",2e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"377","Contrato","17/11/2022 14:28","Real","2022CD-000284-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Modificar","20221104363-01","20221104363-00","Contratacion de servicios para confeccion de lonas y bolsas de tela para desarrollo de la ¿expobici heredia 2022¿ de la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","22/11/2022 06:00","24/11/2022 08:00","24/11/2022 08:00","10 Días hábiles",8e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"378","Contrato","17/11/2022 14:59","Real","2022CD-000140-0019100001","-","Municipalidad ","Coto Brus","No","Iris de Jesus Vindas Chaves","Iris de Jesus Vindas Chaves","Iris de Jesus Vindas Chaves","Modificar","20221103923-01 20221103923-02","20221103923-00","Compra de insumos de trabajo para el servicio de aseo de vias, recoleccion de residuos y cementerios de la municipalidad de coto brus","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","18/11/2022 07:00","22/11/2022 13:30","22/11/2022 13:31","6 Días hábiles",4749774,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","608"
"379","Contrato","18/11/2022 07:49","Real","2022CD-000076-0003000001","-","Municipalidad ","Flores","No","Cynthia Alejandra Salas Chavarría","Vivian Barrantes Jimènez","Vivian Barrantes Jimènez","Registro","","20221104011-00","Contratación mantenimiento preventivo y correctivo a los sistemas de aire acondicionados de la municipalidad de flores","Servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","18/11/2022 08:30","23/11/2022 09:00","23/11/2022 09:00","10 Días hábiles",3e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","408"
"380","Contrato","18/11/2022 09:08","Real","2022CD-000183-0003900001","-","Municipalidad ","Nicoya","No","Maria Azucena Rodriguez Jimenez","María Teresa Salas Murillo","Maria Azucena Rodriguez Jimenez","Registro","","20221104508-00","Compra de un servidor, una estación de trabajo completa y un firewall para la municipalidad de nicoya.","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","19/11/2022 01:00","22/11/2022 10:00","22/11/2022 10:01","10 Días hábiles",17750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","502"
"381","Contrato","18/11/2022 10:54","Real","2022CD-000080-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20221104295-00","“Compra de llantas para el vehiculo sm-6430 de la unidad de gestión vial de la municipalidad de turrubares”","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","21/11/2022 10:00","24/11/2022 11:00","24/11/2022 11:01","10 Días hábiles",5e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"382","Contrato","18/11/2022 12:07","Real","2022CD-000286-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Modificar","20221104595-01","20221104595-00","Compra de herramientas para la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","21/11/2022 06:00","28/11/2022 08:00","28/11/2022 08:00","10 Días hábiles",8597000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"383","Contrato","18/11/2022 12:48","Real","2022CD-000287-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221104611-00","Contratacion de servicios varios (arco inflable, cimarrona, confeccion de medalla) para desarrollo de heredia kletea de la municipalidad de heredia","Bienes","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","22/11/2022 06:00","23/11/2022 11:00","23/11/2022 11:00","6 Días hábiles",1000001,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"384","Contrato","18/11/2022 13:30","Real","2022CD-000217-0005500001","-","Municipalidad ","Atenas","No","Diana Margot Valerio Víquez","Diana Margot Valerio Víquez","Diana Margot Valerio Víquez","Registro","","20221104635-00","Compra de materiales electricos para mantenimientos de las oficinas de la municipalidad de atenas,","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","18/11/2022 14:00","22/11/2022 14:00","22/11/2022 14:00","10 Días hábiles",312642,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","205"
"385","Contrato","18/11/2022 14:33","Real","2022CD-000218-0004100001","-","Municipalidad ","Santo Domingo","No","Rocio Alfaro Salazar","Rocio Alfaro Salazar","Rocio Alfaro Salazar","Registro","","20221104670-00","Contratación del desarrollo de instrumentos de gestión administrativa de recursos humanos para la municipalidad de santo domingo de heredia","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","18/11/2022 14:45","24/11/2022 15:00","24/11/2022 15:01","10 Días hábiles",2.1e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","403"
"386","En evaluación","18/11/2022 15:05","Real","2022LA-000003-0004400001","-","Municipalidad ","Golfito","No","Karen Mirelli Moya Diaz","Karen Mirelli Moya Diaz","Karen Mirelli Moya Diaz","Modificar","20221103400-01 20221103400-02","20221103400-00","Compra de equipo y software ii semestre 2022 para uso de la municipalidad de golfito","Bienes/servicios","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","18/11/2022 15:30","23/12/2022 16:00","23/12/2022 16:00","30 Días hábiles",54500000,"",NA,"607"
"387","Contrato","18/11/2022 16:22","Real","2022CD-000347-0022030101","-","Municipalidad ","Cartago","No","Jose David Serrano Smith","Jose David Serrano Smith","Jose David Serrano Smith","Registro","","20221104434-00","21402 - la implementacion de cableado estructurado por demanda, en edificios de la municipalidad de cartago","Bienes/servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","18/11/2022 17:00","24/11/2022 07:55","24/11/2022 08:00","10 Días hábiles",1e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","301"
"388","Contrato","21/11/2022 09:41","Real","2022CD-000177-0002200001","-","Municipalidad ","Mora","No","Geremmy de los Angeles Chaves Marin","Tatiana de los Angeles Aguero Aguilar","Tatiana de los Angeles Aguero Aguilar","Registro","","20221104619-00","Alquiler de hosting de página web de municipalidad de mora","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","21/11/2022 10:00","28/11/2022 09:00","28/11/2022 09:00","10 Días hábiles",2e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","107"
"389","Desierto/Infructuoso","21/11/2022 11:35","Real","2022CD-000289-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221104916-00","Contratacion servicios de confeccion e impresión de rotulos para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","24/11/2022 06:00","28/11/2022 08:00","28/11/2022 08:00","10 Días hábiles",960000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"390","Contrato","21/11/2022 11:56","Real","2022CD-000290-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Modificar","20221104928-01 20221104928-02","20221104928-00","Compra de bicicletas y accesorios para policletos de la policia de la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","24/11/2022 06:00","30/11/2022 08:00","30/11/2022 08:00","10 Días hábiles",3666000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"391","Contrato","21/11/2022 15:28","Real","2022LA-000015-0002600001","-","Municipalidad ","Belen","No","Hazel Rodríguez Vega","Hazel Marcela Rodriguez Vega","Hazel Marcela Rodriguez Vega","Registro","","20221104204-00","Implementacion de marco de gestión de ti emanado por el micitt para la municipalidad","Servicios","Licitación abreviada","Según demanda","En línea","https://www.sicop.go.cr","22/11/2022 10:00","25/11/2022 10:00","25/11/2022 10:00","10 Días hábiles",1.3e+08,"",NA,"407"
"392","Contrato","21/11/2022 15:54","Real","2022CD-000056-0021100001","-","Municipalidad ","Orotina","No","Jeffry Miranda Mena","Ana Lucia Chaves Peréz","Jeffry Miranda Mena","Registro","","20221105052-00","Contratacion de empresa para confeccionar uniformes para la municipalidad de orotina, bajo modalidad según demanda","Bienes","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","21/11/2022 16:00","25/11/2022 09:00","25/11/2022 09:05","10 Días hábiles",1,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","209"
"393","Contrato","21/11/2022 16:51","Real","2022CD-000293-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221105086-00","Contratacion de concierto con grupo marfil para la expobici heredia 2022 de la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","22/11/2022 06:00","24/11/2022 08:00","24/11/2022 08:00","6 Días hábiles",4100000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"394","Contrato","22/11/2022 10:47","Real","2022CD-000047-0027900001","-","Municipalidad ","Leon Cortes Castro","No","Wilber Castro Salazar","Wilber Castro Salazar","Wilber Castro Salazar","Registro","","20221105226-00","Compra de aceites para la maquinaria de la utgvm de la municipalidad de león cortés","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","22/11/2022 11:00","25/11/2022 11:00","25/11/2022 11:00","20 Días hábiles",2253302,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","120"
"395","Contrato","22/11/2022 15:15","Real","2022CD-001427-0015499999","-","Municipalidad ","San Jose","No","Jose Ignacio Aguilar Monge","Jose Ignacio Aguilar Monge","Jose Ignacio Aguilar Monge","Modificar","20221105307-01","20221105307-00","Servicio de notificación a contribuyentes y patentados de la municipalidad de san josé","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","22/11/2022 15:30","25/11/2022 13:00","25/11/2022 13:01","10 Días hábiles",2e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","101"
"396","Desierto/Infructuoso","22/11/2022 15:35","Real","2022CD-000146-0021800611","-","Municipalidad ","Garabito","No","Juan Alonso Araya Ordoñez","Juan Alonso Araya Ordoñez","Yenier Alexander Delgado Sandi","Modificar","20221105383-01","20221105383-00","Actualización del plan municipal de gestión integral de residuos solidos de la municipalidad de garabito","Servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","22/11/2022 15:40","28/11/2022 08:00","28/11/2022 08:05","3 Días hábiles",2,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","611"
"397","Contrato","22/11/2022 16:01","Real","2022CD-000296-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20221105398-00","Servicios profesionales para capacitacion ley nº 9986 denominada ¿la nueva ley general de contratacion publica y su reglamento¿ para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","23/11/2022 07:00","24/11/2022 10:00","24/11/2022 10:00","1 Días hábiles",2140000,"","Contratación directa para servicios de capacitación (Artículo 2 inc. d) LCA y artículo 139 inciso e) RLCA.","401"
"398","Contrato","22/11/2022 17:29","Real","2022CD-000044-0003700001","-","Municipalidad ","San Pablo","No","David González Ovares","David González Ovares","David González Ovares","Registro","","20221105426-00","“Contratación para realizar reparacion de motocicleta de policia municipal de municipalidad de san pablo de heredia”.","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","22/11/2022 17:35","25/11/2022 10:00","25/11/2022 10:01","6 Días hábiles",4e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","409"
"399","Contrato","23/11/2022 07:33","Real","2022LA-000027-0021000001","-","Municipalidad ","Santa Cruz","No","Diana Isabel Villalta Gutierrez","Diana Isabel Villalta Gutierrez","Diana Isabel Villalta Gutierrez","Registro","","20221103530-00","Arrendame de instalación y gestión de una solución de seguridad perimetral para la protección de la infraestructura de la municipalidad de santa cruz","Bienes/servicios","Licitación abreviada","Arrendamiento de bienes muebles sin opción de compra","En línea","https://www.sicop.go.cr","23/11/2022 10:00","30/11/2022 09:00","30/11/2022 09:00","20 Días hábiles",26862679.8,"43.515 [USD]",NA,"503"
"400","Adjudicación en firme","23/11/2022 08:26","Real","2022CD-000031-0004300001","-","Municipalidad ","Corredores","No","Reymond Gonzalez Zuñiga","Reymond Gonzalez Zuñiga","Reymond Gonzalez Zuñiga","Registro","","20221105075-00","Compra de reloj marcador para control de asistencia del personal de la municipalidad de corredores.","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","23/11/2022 10:00","25/11/2022 10:00","25/11/2022 10:00","10 Días hábiles",825000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","610"
"401","Contrato","23/11/2022 09:30","Real","2022CD-000256-0023300001","-","Municipalidad ","San Rafael","No","Floribeth Chaves Ramirez","Floribeth Chaves Ramirez","Floribeth Chaves Ramirez","Registro","","20221105510-00","Contratación de capacitacion de gestion de habitos para la competitividad, incluye alimentacion para funcionarios municipales, de la municipalidad de san rafael de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","23/11/2022 12:00","28/11/2022 11:00","28/11/2022 11:05","8 Días hábiles",847650,"","Contratación directa para servicios de capacitación (Artículo 2 inc. d) LCA y artículo 139 inciso e) RLCA.","405"
"402","Contrato","23/11/2022 10:06","Real","2022CD-000071-0022900511","-","Municipalidad ","Hojancha","No","Wadih Mejias Espinoza","Wadih Mejias Espinoza","Wadih Mejias Espinoza","Registro","","20221105537-00","Compra de equipos de cómputo portátil, ups, refacciones y artículos varios para uso de la administración municipalidad de hojancha","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/11/2022 07:30","28/11/2022 10:00","28/11/2022 11:00","10 Días hábiles",2e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","511"
"403","Contrato","23/11/2022 11:11","Real","2022CD-000417-0003600001","-","Municipalidad ","San Carlos","No","Nersy Arce Araya","Nersy Arce Araya","Nersy Arce Araya","Registro","","20221105519-00","Contratación de servicios jurídicos para proceso administrativo disciplinario en la municipalidad de san carlos","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","23/11/2022 17:00","29/11/2022 14:00","29/11/2022 14:00","8 Días hábiles",4e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","210"
"404","Contrato","23/11/2022 11:18","Real","2022CD-000034-0004300001","-","Municipalidad ","Corredores","No","Maria Cecilia Vargas Bolaños","Maria Cecilia Vargas Bolaños","Maria Cecilia Vargas Bolaños","Registro","","20221104484-00","Contratación de servicios de actualización y soporte del sistema antivirus endpoint security cloud para la municipalidad de corredores","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","23/11/2022 15:00","29/11/2022 10:00","29/11/2022 15:00","10 Días hábiles",1680000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","610"
"405","Contrato","23/11/2022 13:41","Real","2022CD-000298-0021700001","-","Municipalidad ","Heredia","No","Miurel Flores Rodríguez","Miurel Flores Rodríguez","Miurel Flores Rodríguez","Registro","","20221105613-00","Compra de combustible para varios departamento de la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","24/11/2022 10:00","25/11/2022 10:00","25/11/2022 10:00","2 Días naturales",5300000,"","Contratación directa para compra de combustible en las estaciones de servicios (Artículo 2 inc. d) LCA y artículo 139 inciso n) RLCA.","401"
"406","Contrato","23/11/2022 16:28","Real","2022CD-000301-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20221105718-00","Contratacion de actividades para 2da edicion de feria del libro de la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","24/11/2022 06:00","28/11/2022 08:00","28/11/2022 08:00","6 Días hábiles",1150000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
